,주간시작일자,일자,누적확진자,신규확진자
0,2021-09-20,09/20-09/26,303553,16017
1,2021-09-13,09/13-09/19,287536,13121
2,2021-09-06,09/06-09/12,274415,12637
3,2021-08-30,08/30-09/05,261778,11727
4,2021-08-23,08/23-08/29,250051,12269
5,2021-08-16,08/16-08/22,237782,12301
6,2021-08-09,08/09-08/15,225481,13033
7,2021-08-02,08/02-08/08,212448,11446
8,2021-07-26,07/26-08/01,201002,10836
9,2021-07-19,07/19-07/25,190166,10963
10,2021-07-12,07/12-07/18,179203,10057
11,2021-07-05,07/05-07/11,169146,8351
12,2021-06-28,06/28-07/04,160795,5223
13,2021-06-21,06/21-06/27,155572,4066
14,2021-06-14,06/14-06/20,151506,3233
15,2021-06-07,06/07-06/13,148273,3636
16,2021-05-31,05/31-06/06,144637,4297
17,2021-05-24,05/24-05/30,140340,3873
18,2021-05-17,05/17-05/23,136467,4177
19,2021-05-10,05/10-05/16,132290,4518
20,2021-05-03,05/03-05/09,127772,4044
21,2021-04-26,04/26-05/02,123728,4341
22,2021-04-19,04/19-04/25,119387,4741
23,2021-04-12,04/12-04/18,114646,4500
24,2021-04-05,04/05-04/11,110146,4394
25,2021-03-29,03/29-04/04,105752,3611
26,2021-03-22,03/22-03/28,102141,3066
27,2021-03-15,03/15-03/21,99075,3058
28,2021-03-08,03/08-03/14,96017,3200
29,2021-03-01,03/01-03/07,92817,2786
30,2021-02-22,02/22-02/28,90031,2707
31,2021-02-15,02/15-02/21,87324,3455
32,2021-02-08,02/08-02/14,83869,2684
33,2021-02-01,02/01-02/07,81185,2677
34,2021-01-25,01/25-01/31,78508,2987
35,2021-01-18,01/18-01/24,75521,2792
36,2021-01-11,01/11-01/17,72729,3615
37,2021-01-04,01/04-01/10,69114,4850
38,2020-12-28,12/28-01/03,64264,6584
39,2020-12-21,12/21-12/27,57680,7089
40,2020-12-14,12/14-12/20,50591,7107
41,2020-12-07,12/07-12/13,43484,5323
42,2020-11-30,11/30-12/06,38161,3960
43,2020-11-23,11/23-11/29,34201,3197
44,2020-11-16,11/16-11/22,31004,2235
45,2020-11-09,11/09-11/15,28769,1216
46,2020-11-02,11/02-11/08,27553,821
47,2020-10-26,10/26-11/01,26732,777
48,2020-10-19,10/19-10/25,25955,680
49,2020-10-12,10/12-10/18,25275,572
50,2020-10-05,10/05-10/11,24703,539
51,2020-09-28,09/28-10/04,24164,503
52,2020-09-21,09/21-09/27,23661,616
53,2020-09-14,09/14-09/20,23045,760
54,2020-09-07,09/07-09/13,22285,989
55,2020-08-31,08/31-09/06,21296,1349
56,2020-08-24,08/24-08/30,19947,2282
57,2020-08-17,08/17-08/23,17665,2150
58,2020-08-10,08/10-08/16,15515,889
59,2020-08-03,08/03-08/09,14626,237
60,2020-07-27,07/27-08/02,14389,214
61,2020-07-20,07/20-07/26,14175,404
62,2020-07-13,07/13-07/19,13771,292
63,2020-07-06,07/06-07/12,13479,342
64,2020-06-29,06/29-07/05,13137,380
65,2020-06-22,06/22-06/28,12757,319
66,2020-06-15,06/15-06/21,12438,317
67,2020-06-08,06/08-06/14,12121,307
68,2020-06-01,06/01-06/07,11814,311
69,2020-05-25,05/25-05/31,11503,297
70,2020-05-18,05/18-05/24,11206,141
71,2020-05-11,05/11-05/17,11065,156
72,2020-05-04,05/04-05/10,10909,108
73,2020-04-27,04/27-05/03,10801,63
74,2020-04-20,04/20-04/26,10738,77
75,2020-04-13,04/13-04/19,10661,149
76,2020-04-06,04/06-04/12,10512,275
77,2020-03-30,03/30-04/05,10237,654
78,2020-03-23,03/23-03/29,9583,686
79,2020-03-16,03/16-03/22,8897,735
80,2020-03-09,03/09-03/15,8162,848
81,2020-03-02,03/02-03/08,7134,3608
82,2020-02-24,02/24-03/01,3526,2970
83,2020-02-17,02/17-02/23,556,527
84,2020-02-10,02/10-02/16,29,2
85,2020-02-03,02/03-02/09,27,12
86,2020-01-27,01/27-02/02,15,12
87,2020-01-20,01/20-01/26,3,3
