대륙,국가,구분,일자,누적확진(명),신규확진(명),인구확진비율(%),인구(명),누적사망(명),신규사망(명),사망률(%)
동아시아/동남아시아,대한민국,주간(월-일),11/01-11/07,381694,15308,0.74,51269183,2980,122,0.78
동아시아/동남아시아,대한민국,주간(월-일),10/25-10/31,366386,13297,0.71,51269183,2858,85,0.78
동아시아/동남아시아,대한민국,주간(월-일),10/18-10/24,353089,9644,0.69,51269183,2773,105,0.79
동아시아/동남아시아,대한민국,주간(월-일),10/11-10/17,343445,10629,0.67,51269183,2668,85,0.78
동아시아/동남아시아,대한민국,주간(월-일),10/04-10/10,332816,13039,0.65,51269183,2583,70,0.78
동아시아/동남아시아,대한민국,주간(월-일),09/27-10/03,319777,16224,0.62,51269183,2513,57,0.79
동아시아/동남아시아,대한민국,주간(월-일),09/20-09/26,303553,16017,0.59,51269183,2456,47,0.81
동아시아/동남아시아,대한민국,주간(월-일),09/13-09/19,287536,13121,0.56,51269183,2409,49,0.84
동아시아/동남아시아,대한민국,주간(월-일),09/06-09/12,274415,12637,0.54,51269183,2360,33,0.86
동아시아/동남아시아,대한민국,주간(월-일),08/30-09/05,261778,11727,0.51,51269183,2327,43,0.89
동아시아/동남아시아,대한민국,주간(월-일),08/23-08/29,250051,12269,0.49,51269183,2284,62,0.91
동아시아/동남아시아,대한민국,주간(월-일),08/16-08/22,237782,12301,0.46,51269183,2222,55,0.93
동아시아/동남아시아,대한민국,주간(월-일),08/09-08/15,225481,13033,0.44,51269183,2167,42,0.96
동아시아/동남아시아,대한민국,주간(월-일),08/02-08/08,212448,11446,0.41,51269183,2125,26,1.00
동아시아/동남아시아,대한민국,주간(월-일),07/26-08/01,201002,10836,0.39,51269183,2099,22,1.04
동아시아/동남아시아,대한민국,주간(월-일),07/19-07/25,190166,10963,0.37,51269183,2077,19,1.09
동아시아/동남아시아,대한민국,주간(월-일),07/12-07/18,179203,10057,0.35,51269183,2058,14,1.15
동아시아/동남아시아,대한민국,주간(월-일),07/05-07/11,169146,8351,0.33,51269183,2044,16,1.21
동아시아/동남아시아,대한민국,주간(월-일),06/28-07/04,160795,5223,0.31,51269183,2028,13,1.26
동아시아/동남아시아,대한민국,주간(월-일),06/21-06/27,155572,4066,0.30,51269183,2015,11,1.30
동아시아/동남아시아,대한민국,주간(월-일),06/14-06/20,151506,3233,0.30,51269183,2004,16,1.32
동아시아/동남아시아,대한민국,주간(월-일),06/07-06/13,148273,3636,0.29,51269183,1988,14,1.34
동아시아/동남아시아,대한민국,주간(월-일),05/31-06/06,144637,4297,0.28,51269183,1974,15,1.36
동아시아/동남아시아,대한민국,주간(월-일),05/24-05/30,140340,3873,0.27,51269183,1959,25,1.40
동아시아/동남아시아,대한민국,주간(월-일),05/17-05/23,136467,4177,0.27,51269183,1934,31,1.42
동아시아/동남아시아,대한민국,주간(월-일),05/10-05/16,132290,4518,0.26,51269183,1903,28,1.44
동아시아/동남아시아,대한민국,주간(월-일),05/03-05/09,127772,4044,0.25,51269183,1875,41,1.47
동아시아/동남아시아,대한민국,주간(월-일),04/26-05/02,123728,4341,0.24,51269183,1834,17,1.48
동아시아/동남아시아,대한민국,주간(월-일),04/19-04/25,119387,4741,0.23,51269183,1817,16,1.52
동아시아/동남아시아,대한민국,주간(월-일),04/12-04/18,114646,4500,0.22,51269183,1801,31,1.57
동아시아/동남아시아,대한민국,주간(월-일),04/05-04/11,110146,4394,0.21,51269183,1770,22,1.61
동아시아/동남아시아,대한민국,주간(월-일),03/29-04/04,105752,3611,0.21,51269183,1748,22,1.65
동아시아/동남아시아,대한민국,주간(월-일),03/22-03/28,102141,3066,0.20,51269183,1726,29,1.69
동아시아/동남아시아,대한민국,주간(월-일),03/15-03/21,99075,3058,0.19,51269183,1697,22,1.71
동아시아/동남아시아,대한민국,주간(월-일),03/08-03/14,96017,3200,0.19,51269183,1675,33,1.74
동아시아/동남아시아,대한민국,주간(월-일),03/01-03/07,92817,2786,0.18,51269183,1642,37,1.77
동아시아/동남아시아,대한민국,주간(월-일),02/22-02/28,90031,2707,0.18,51269183,1605,43,1.78
동아시아/동남아시아,대한민국,주간(월-일),02/15-02/21,87324,3455,0.17,51269183,1562,35,1.79
동아시아/동남아시아,대한민국,주간(월-일),02/08-02/14,83869,2684,0.16,51269183,1527,53,1.82
동아시아/동남아시아,대한민국,주간(월-일),02/01-02/07,81185,2677,0.16,51269183,1474,49,1.82
동아시아/동남아시아,대한민국,주간(월-일),01/25-01/31,78508,2987,0.15,51269183,1425,65,1.82
동아시아/동남아시아,대한민국,주간(월-일),01/18-01/24,75521,2792,0.15,51269183,1360,96,1.80
동아시아/동남아시아,대한민국,주간(월-일),01/11-01/17,72729,3615,0.14,51269183,1264,124,1.74
동아시아/동남아시아,대한민국,주간(월-일),01/04-01/10,69114,4850,0.13,51269183,1140,159,1.65
